Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positiv_ Examples,Body_size,PCA_Body_size,Functional_variable
?a  hasQuestion  SU01_09   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  SU01_01   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  M006_01   , ?a  type  Response,0.047203065,1,1,308,308,308,?a
?a  hasQuestion  SU01_05   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  UM20   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  M005   , ?a  type  Response,0.047203065,1,1,308,308,308,?a
?a  hasQuestion  UM21   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM04   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  SU01_08   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  UM01   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM23   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  SU01_04   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  UM19   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  SU01_10   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  UM16   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  SU01_07   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  UM08   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM13   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasVisitId  ?b   , ?a  Response_by_User  ?b,1,1,1,5614,5614,5614,?a
?a  Response_by_User  ?b   , ?a  hasVisitId  ?b,1,1,1,5614,5614,5614,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Agreement   , ?a  chosen_Answer_Code  3,0.048628429,0.184709066,0.184709066,273,1478,1478,?a
?d  belongsTo  uMARS  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  3,0.062166014,0.158636364,0.158636364,349,2200,2200,?a
?d  belongsTo  SUS  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  3,0.029568935,0.174736842,0.174736842,166,950,950,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Quality   , ?a  chosen_Answer_Code  3,0.030459565,0.105036855,0.105036855,171,1628,1628,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Degree   , ?a  chosen_Answer_Code  9,0.047737798,0.203030303,0.203030303,268,1320,1320,?a
?a  hasAnswerId  ?f  ?f  hasAnswer_Category  ?b   , ?a  hasAnswer_Category  ?b,1,1,1,273,273,273,?a
?a  ResponseCode  TEXT  ?b  hasAnswerScale_Type  Textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?a  ResponseLabel  Textual response  ?b  hasAnswerScale_Type  Textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?d  belongsTo  ME1  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  9,0.061987887,0.141233766,0.141233766,348,2464,2464,?a
?b  hasAnswerScale_Type  Textual  ?a  hasAnswer_Category  textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?d  belongsTo  ME1  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  8,0.057712861,0.131493506,0.131493506,324,2464,2464,?a
?b  ResponseLabel  Scale value 7  ?a  ResponseLabel  [7]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseCode  6  ?b  ResponseLabel  [6]   , ?a  hasAnswerId  ?b,0.018315018,0.111111111,0.111111111,5,45,45,?a
?a  ResponseLabel  Scale value 6  ?b  ResponseLabel  [6]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseLabel  Scale value 4  ?b  ResponseLabel  [4]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseCode  7  ?b  ResponseLabel  [7]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseLabel  2  ?b  ResponseLabel  2 2   , ?a  hasAnswerId  ?b,0.029304029,0.125,0.125,8,64,64,?a
?a  ResponseLabel  Scale value 7  ?b  ResponseLabel  [7]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseCode  7  ?b  ResponseLabel  Scale value 7   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseLabel  Scale value 5  ?b  ResponseLabel  [5]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?e  hasAnswerId  ?a  ?e  hasAnswer_Category  ?b   , ?a  hasAnswer_Category  ?b,1,1,1,273,273,273,?a
?a  ResponseLabel  Scale value 3  ?b  ResponseLabel  [3]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseLabel  1 Stimme ?berhaupt nicht zu  ?b  ResponseLabel  1 Strongly disagree   , ?a  hasAnswerId  ?b,0.021978022,0.166666667,0.166666667,6,36,36,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Degree   , ?a  chosen_Answer_Code  8,0.044887781,0.190909091,0.190909091,252,1320,1320,?a
?b  ResponseLabel  1 Stimme ?berhaupt nicht zu  ?a  ResponseLabel  1 Strongly disagree   , ?a  hasAnswerId  ?b,0.021978022,0.166666667,0.166666667,6,36,36,?a
?b  ResponseLabel  Scale value 2  ?a  ResponseLabel  [2]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseCode  8  ?b  ResponseLabel  [8]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseLabel  Scale value 8  ?b  ResponseLabel  [8]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseCode  9  ?b  ResponseLabel  Scale value 9   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseLabel  Scale value 4  ?a  ResponseLabel  [4]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseLabel  does not apply at all  ?a  ResponseLabel  trifft gar nicht zu   , ?a  hasAnswerId  ?b,0.036630037,0.1,0.1,10,100,100,?a
?a  ResponseLabel  not at all [1]  ?b  ResponseLabel  ?berhaupt nicht [1]   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?b  ResponseLabel  3  ?a  ResponseLabel  3 3   , ?a  hasAnswerId  ?b,0.025641026,0.142857143,0.142857143,7,49,49,?a
?b  ResponseLabel  Scale value 5  ?a  ResponseLabel  [5]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseLabel  Scale value 6  ?a  ResponseLabel  [6]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseLabel  Scale value 9  ?a  ResponseLabel  [9]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseLabel  Scale value 8  ?a  ResponseLabel  [8]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseLabel  Scale value 9  ?b  ResponseLabel  [9]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseLabel  does not apply at all  ?b  ResponseLabel  trifft gar nicht zu   , ?a  hasAnswerId  ?b,0.036630037,0.1,0.1,10,100,100,?a
?a  ResponseCode  6  ?b  ResponseLabel  Scale value 6   , ?a  hasAnswerId  ?b,0.018315018,0.111111111,0.111111111,5,45,45,?a
?b  ResponseLabel  Textual response  ?a  hasAnswerScale_Type  Textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?a  ResponseLabel  3  ?b  ResponseLabel  3 3   , ?a  hasAnswerId  ?b,0.025641026,0.142857143,0.142857143,7,49,49,?a
?a  ResponseCode  8  ?b  ResponseLabel  Scale value 8   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseCode  9  ?b  ResponseLabel  [9]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?a  ResponseLabel  5 Stimme sehr zu  ?b  ResponseLabel  5 Strongly agree   , ?a  hasAnswerId  ?b,0.021978022,0.166666667,0.166666667,6,36,36,?a
?b  ResponseLabel  4  ?a  ResponseLabel  4 4   , ?a  hasAnswerId  ?b,0.029304029,0.125,0.125,8,64,64,?a
?a  ResponseLabel  Scale value 2  ?b  ResponseLabel  [2]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseLabel  Scale value 3  ?a  ResponseLabel  [3]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseLabel  fully applies  ?a  ResponseLabel  trifft voll zu   , ?a  hasAnswerId  ?b,0.036630037,0.1,0.1,10,100,100,?a
?b  ResponseLabel  not at all [1]  ?a  ResponseLabel  ?berhaupt nicht [1]   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?a  ResponseCode  TEXT  ?b  ResponseLabel  Textual response   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?b  ResponseLabel  Textual response  ?a  hasAnswer_Category  textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?a  ResponseLabel  4  ?b  ResponseLabel  4 4   , ?a  hasAnswerId  ?b,0.029304029,0.125,0.125,8,64,64,?a
?b  ResponseLabel  5 Stimme sehr zu  ?a  ResponseLabel  5 Strongly agree   , ?a  hasAnswerId  ?b,0.021978022,0.166666667,0.166666667,6,36,36,?a
?a  ResponseLabel  fully applies  ?b  ResponseLabel  trifft voll zu   , ?a  hasAnswerId  ?b,0.036630037,0.1,0.1,10,100,100,?a
?b  ResponseLabel  2  ?a  ResponseLabel  2 2   , ?a  hasAnswerId  ?b,0.029304029,0.125,0.125,8,64,64,?a
?a  hasAnswer_Category  Format  ?b  is_Answer_To  M005   , ?a  hasAnswerId  ?b,0.010989011,0.25,0.25,3,12,12,?a
?a  ResponseCode  TEXT  ?b  hasAnswer_Category  textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?a  hasAnswerScale_Type  Textual  ?b  hasAnswer_Category  textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?a  ResponseLabel  Textual response  ?b  hasAnswer_Category  textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?b  hasAnswer_Category  Format  ?a  is_Answer_To  M005   , ?a  hasAnswerId  ?b,0.010989011,0.25,0.25,3,12,12,?a
?a  ResponseCode  6  ?b  hasAnswer_Category  NoInfo   , ?a  hasAnswerId  ?b,0.014652015,0.111111111,0.111111111,4,36,36,?a
?b  ResponseCode  8  ?a  ResponseLabel  [8]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseCode  TEXT  ?a  hasAnswerScale_Type  Textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?b  ResponseCode  TEXT  ?a  hasAnswer_Category  textual   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?b  ResponseCode  6  ?a  ResponseLabel  Scale value 6   , ?a  hasAnswerId  ?b,0.018315018,0.111111111,0.111111111,5,45,45,?a
?b  ResponseCode  6  ?a  hasAnswer_Category  NoInfo   , ?a  hasAnswerId  ?b,0.014652015,0.111111111,0.111111111,4,36,36,?a
?b  ResponseCode  7  ?a  ResponseLabel  [7]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseCode  8  ?a  ResponseLabel  Scale value 8   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseCode  6  ?a  ResponseLabel  [6]   , ?a  hasAnswerId  ?b,0.018315018,0.111111111,0.111111111,5,45,45,?a
?b  ResponseCode  7  ?a  ResponseLabel  Scale value 7   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseCode  9  ?a  ResponseLabel  [9]   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseCode  9  ?a  ResponseLabel  Scale value 9   , ?a  hasAnswerId  ?b,0.018315018,0.2,0.2,5,25,25,?a
?b  ResponseCode  TEXT  ?a  ResponseLabel  Textual response   , ?a  hasAnswerId  ?b,0.010989011,0.333333333,0.333333333,3,9,9,?a
?f  hasAnswerId  ?a  ?b  hasAnswerId  ?f   , ?a  hasAnswerId  ?b,1,1,1,273,273,273,?a
?a  hasAnswerId  ?f  ?b  hasAnswerId  ?f   , ?a  hasAnswerId  ?b,1,1,1,273,273,273,?a
?f  hasAnswerId  ?b  ?a  hasAnswerId  ?f   , ?a  hasAnswerId  ?b,1,1,1,273,273,273,?a
?a  ResponseLabel  ?f  ?b  ResponseLabel  ?f   , ?a  hasAnswerId  ?b,1,0.101827676,0.101827676,273,2681,2681,?a
?a  is_Answer_To  ?f  ?b  is_Answer_To  ?f   , ?a  hasAnswerId  ?b,1,0.14300681,0.14300681,273,1909,1909,?a
?e  hasAnswerId  ?a  ?e  hasAnswerId  ?b   , ?a  hasAnswerId  ?b,1,1,1,273,273,273,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Agreement   , ?a  chosen_Answer_Code  5,0.083363021,0.316644114,0.316644114,468,1478,1478,?a
?d  belongsTo  SUS  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  5,0.060206626,0.355789474,0.355789474,338,950,950,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Quality   , ?a  chosen_Answer_Code  5,0.064125401,0.221130221,0.221130221,360,1628,1628,?a
?d  belongsTo  uMARS  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  5,0.093159957,0.237727273,0.237727273,523,2200,2200,?a
?a  hasQuestion  ?d  ?d  type  Question   , ?a  chosen_Answer_Code  5,0.164588529,0.164588529,0.164588529,924,5614,5614,?a
?a  hasVisitId  ?d  ?d  type  User   , ?a  chosen_Answer_Code  5,0.164588529,0.164588529,0.164588529,924,5614,5614,?a
?d  belongsTo  SUS  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  4,0.045956537,0.271578947,0.271578947,258,950,950,?a
?a  hasVisitId  ?d  ?d  type  User   , ?a  chosen_Answer_Code  4,0.171535447,0.171535447,0.171535447,963,5614,5614,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Quality   , ?a  chosen_Answer_Code  4,0.089241183,0.307739558,0.307739558,501,1628,1628,?a
?d  belongsTo  uMARS  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  4,0.122728892,0.313181818,0.313181818,689,2200,2200,?a
?a  hasQuestion  ?d  ?d  type  Question   , ?a  chosen_Answer_Code  4,0.171535447,0.171535447,0.171535447,963,5614,5614,?a
?a  Response_by_User  ?d  ?d  type  User   , ?a  chosen_Answer_Code  5,0.164588529,0.164588529,0.164588529,924,5614,5614,?a
?a  Response_by_User  ?d  ?d  type  User   , ?a  chosen_Answer_Code  4,0.171535447,0.171535447,0.171535447,963,5614,5614,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Agreement   , ?a  chosen_Answer_Code  4,0.073744211,0.280108254,0.280108254,414,1478,1478,?a
?a  hasVisitId  ?d  ?d  type  User   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.199679373,0.199679373,0.199679373,1121,5614,5614,?a
?a  hasQuestion  ?d  ?d  type  Question   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.199679373,0.199679373,0.199679373,1121,5614,5614,?a
?d  belongsTo  uMARS  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.093159957,0.237727273,0.237727273,523,2200,2200,?a
?a  Response_by_User  ?d  ?d  type  User   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.199679373,0.199679373,0.199679373,1121,5614,5614,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Agreement   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.040969006,0.155615697,0.155615697,230,1478,1478,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Preference   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.071784824,0.436147186,0.436147186,403,924,924,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Quality   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.051300321,0.176904177,0.176904177,288,1628,1628,?a
?d  belongsTo  SUS  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.019593872,0.115789474,0.115789474,110,950,950,?a
?a  hasQuestion  ?d  ?d  hasQuestion_Category  Degree   , ?a  chosen_Answer_Code  10,0.064303527,0.273484848,0.273484848,361,1320,1320,?a
?d  belongsTo  ME1  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.086925543,0.198051948,0.198051948,488,2464,2464,?a
?a  Response_by_User  ?d  ?a  hasVisitId  ?d   , ?a  chosen_Answer_Code  5,0.164588529,0.164588529,0.164588529,924,5614,5614,?a
?a  Response_by_User  ?d  ?a  hasVisitId  ?d   , ?a  chosen_Answer_Code  4,0.171535447,0.171535447,0.171535447,963,5614,5614,?a
?d  belongsTo  ME1  ?a  hasQuestion  ?d   , ?a  chosen_Answer_Code  10,0.080513003,0.183441558,0.183441558,452,2464,2464,?a
?a  hasAnswerScale_Type  ?d  ?d  type  NamedIndividual   , ?a  type  Answer,0.04183908,1,1,273,273,273,?a
?a  hasAnswerId  ?d  ?d  hasAnswerScale_Type  Ordinal   , ?a  type  Answer,0.01532567,1,1,100,100,100,?a
?a  is_Answer_To  ?d  ?d  type  Question   , ?a  type  Answer,0.04183908,1,1,273,273,273,?a
?a  hasAnswerId  ?d  ?d  hasAnswerScale_Type  Nominal   , ?a  type  Answer,0.019463602,1,1,127,127,127,?a
?d  hasQuestion_Category  Agreement  ?a  is_Answer_To  ?d   , ?a  type  Answer,0.014712644,1,1,96,96,96,?a
?d  belongsTo  uMARS  ?a  is_Answer_To  ?d   , ?a  type  Answer,0.022988506,1,1,150,150,150,?a
?a  hasAnswerScale_Type  ?d  ?d  type  Class   , ?a  type  Answer,0.04183908,1,1,273,273,273,?a
?c  hasAnswerId  ?a  ?c  hasAnswerScale_Type  Ordinal   , ?a  type  Answer,0.01532567,1,1,100,100,100,?a
?a  ResponseCode  ?d  ?d  type  User   , ?a  type  Answer,0.034789272,1,1,227,227,227,?a
?d  hasAnswerId  ?a  ?a  hasAnswerId  ?d   , ?a  type  Answer,0.04183908,1,1,273,273,273,?a
?c  hasAnswerId  ?a  ?c  hasAnswerScale_Type  Nominal   , ?a  type  Answer,0.019463602,1,1,127,127,127,?a
?d  hasQuestion_Category  Quality  ?a  is_Answer_To  ?d   , ?a  type  Answer,0.016091954,1,1,105,105,105,?a
?a  hasAnswerScale_Type  ?d  ?d  type  Scale_Type   , ?a  type  Answer,0.04183908,1,1,273,273,273,?a
?a  hasAnswerScale_Type  ?d  ?d  subClassOf  Answer   , ?a  type  Answer,0.04183908,1,1,273,273,273,?a
?a  Response_by_User  ?d  ?a  hasVisitId  ?d   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.199679373,0.199679373,0.199679373,1121,5614,5614,?a
?a  ResponseOnPlatform  ?d  ?a  chosen_Answer_Code  ?d   , ?a  chosen_Answer_Code  1,0.043106519,1,1,242,242,242,?a
?a  ResponseCode  3  ?a  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  hasUserId  ?a  ?a  hasUserId  ?d   , ?a  type  User,0.075249042,1,1,491,491,491,?a
?a  ResponseCode  2  ?a  hasAnswer_Category  very_negative   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseCode  4  ?a  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseCode  6  ?a  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseOnPlatform  ?d  ?a  chosen_Answer_Code  ?d   , ?a  hasQuestion  M005,0.030815818,0.714876033,0.714876033,173,242,242,?a
?a  ResponseCode  5  ?a  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseCode  8  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseCode  10  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  hasAnswerId  ?d  ?d  type  Answer   , ?a  hasAnswerScale_Type  Ordinal,0.366300366,0.366300366,0.366300366,100,273,273,?a
?d  ResponseLabel  [7]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseCode  3  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
?d  ResponseLabel  Scale value 9  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  Scale value 4  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseCode  9  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  Scale value 2  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  [8]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  [9]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  [6]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  fully applies  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?d  ResponseLabel  does not apply at all  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?d  ResponseLabel  Scale value 3  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseCode  4  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.384615385,0.384615385,15,39,39,?a
?d  ResponseCode  5  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.384615385,0.384615385,15,39,39,?a
?d  ResponseLabel  trifft voll zu  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?d  ResponseLabel  trifft gar nicht zu  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?d  ResponseLabel  [2]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  Likert response 3  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?d  ResponseLabel  Likert response 2  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?d  ResponseLabel  not at all [1]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.010989011,1,1,3,3,3,?a
?d  hasAnswerId  ?a  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.366300366,0.366300366,0.366300366,100,273,273,?a
?d  ResponseCode  7  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  [4]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseCode  6  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.555555556,0.555555556,5,9,9,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_06   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?d  ResponseLabel  Scale value 8  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseCode  2  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  M010_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?d  ResponseCode  1  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
?d  ResponseLabel  ?berhaupt nicht [1]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.010989011,1,1,3,3,3,?a
?d  ResponseLabel  Scale value 5  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?d  ResponseLabel  [3]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  M006_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?d  ResponseLabel  [5]  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_01   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?d  ResponseLabel  Likert response 4  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?d  ResponseLabel  Scale value 6  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_09   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  M002_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?d  ResponseLabel  Scale value 7  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
